2023-03-17 22:46:03.169 [main] INFO  Main - Input File: test.mesh
2023-03-17 22:46:03.171 [main] INFO  Main - Output File: test.svg
2023-03-17 22:46:04.605 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - |Vertices| = 5101
2023-03-17 22:46:04.607 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 0: (0.00,0.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.607 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 1: (0.00,20.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.608 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 2: (0.00,40.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.609 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 3: (0.00,60.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.609 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 4: (0.00,80.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.610 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 5: (0.00,100.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.610 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 6: (0.00,120.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.611 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 7: (0.00,140.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.611 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 8: (0.00,160.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.612 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 9: (0.00,180.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.612 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 10: (0.00,200.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.613 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 11: (0.00,220.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.613 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 12: (0.00,240.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.614 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 13: (0.00,260.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.614 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 14: (0.00,280.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.615 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 15: (0.00,300.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.615 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 16: (0.00,320.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.616 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 17: (0.00,340.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.616 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 18: (0.00,360.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.617 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 19: (0.00,380.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.617 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 20: (0.00,400.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.618 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 21: (0.00,420.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.618 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 22: (0.00,440.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.619 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 23: (0.00,460.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.619 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 24: (0.00,480.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.620 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 25: (0.00,500.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.620 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 26: (0.00,520.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.621 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 27: (0.00,540.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.621 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 28: (0.00,560.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.622 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 29: (0.00,580.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.622 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 30: (0.00,600.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.623 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 31: (0.00,620.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.623 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 32: (0.00,640.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.623 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 33: (0.00,660.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.624 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 34: (0.00,680.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.624 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 35: (0.00,700.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.625 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 36: (0.00,720.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.625 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 37: (0.00,740.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.626 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 38: (0.00,760.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.626 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 39: (0.00,780.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.627 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 40: (0.00,800.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.627 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 41: (0.00,820.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.627 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 42: (0.00,840.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.628 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 43: (0.00,860.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.628 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 44: (0.00,880.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.629 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 45: (0.00,900.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.629 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 46: (0.00,920.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.629 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 47: (0.00,940.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.630 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 48: (0.00,960.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.630 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 49: (0.00,980.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.630 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 50: (0.00,1000.00) [rgba_color -> ce008080, thickness -> 7.00, centroid -> false, ]
2023-03-17 22:46:04.631 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 51: (10.00,10.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.631 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 52: (10.00,30.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.631 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 53: (10.00,50.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.632 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 54: (10.00,70.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.632 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 55: (10.00,90.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.632 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 56: (10.00,110.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.633 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 57: (10.00,130.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.633 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 58: (10.00,150.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.633 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 59: (10.00,170.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.633 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 60: (10.00,190.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.634 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 61: (10.00,210.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.634 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 62: (10.00,230.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.634 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 63: (10.00,250.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.635 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 64: (10.00,270.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.635 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 65: (10.00,290.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.635 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 66: (10.00,310.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.635 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 67: (10.00,330.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.636 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 68: (10.00,350.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
2023-03-17 22:46:04.636 [main] INFO  ca.mcmaster.cas.se2aa4.a2.visualizer.MeshDump - 69: (10.00,370.00) [rgba_color -> ffffff, thickness -> 0.00, centroid -> true, ]
